Ticker,count,median,std,mean,skew
BIIB,179,0.003226326440555427,0.0756363189588228,0.009919783452310923,0.7472574557898409
CAT,441,0.0065352232680597755,0.05454107715110988,0.0065369306930643176,0.09539578439129977
ECL,470,0.011166954969718867,0.034977848493731464,0.007267510334223732,-0.5112849166827758
GOOG,434,0.005714964245380094,0.05643021575534827,0.009305587285279813,1.1194835010302375
KO,586,0.00696284536100511,0.03391435695139282,0.0040142820246185035,0.14303290130597296
NKE,534,0.0025179105420560788,0.05293257838607166,0.0075741545057766155,0.342989102770705
NVDA,464,0.018039172641781565,0.11682074790510344,0.019369389405985975,1.272947762811195
T,568,0.001536903799131073,0.041568961795901666,0.002955352518188712,-0.06285031808016092
WFC,554,0.007730836636892668,0.05236081252774816,0.006869644298931019,0.4259879672636696
WMT,542,0.0038498253314781516,0.03683013959584726,0.005047735133959686,0.7543048085548684
